,機關名稱,子目名稱,"('期初轉入數', 106)","('期初轉入數', 107)","('期初轉入數', 108)","('支用數', 106)","('支用數', 107)","('支用數', 108)",106支用率,107支用率,108支用率
10322,花蓮縣鳳林鎮北林國民小學,應付代收款-其他-羅英獎助學金,0.0,32000.0,31700.0,0.0,300.0,300.0,0.0,0.009375,0.00946372239747634
10366,花蓮縣鳳林鎮北林國民小學,應付代收款-非政府機關委託補助-宗亞補助文化不利地區課輔費,18416.0,18416.0,18416.0,0.0,0.0,0.0,0.0,0.0,0.0
10367,花蓮縣鳳林鎮北林國民小學,應付代收款-非政府機關委託補助-小太陽愛心緣貧困學童助學金,0.0,10000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0
10375,花蓮縣鳳林鎮北林國民小學,應付代收款-非政府機關委託補助-陳之樂先生補助,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
10507,花蓮縣鳳林鎮長橋國民小學,應付代收款-教育儲蓄專戶-利息收入,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
10533,花蓮縣鳳林鎮長橋國民小學,應付代收款-非政府機關委託補助-世界展望會助學金,64500.0,94500.0,94500.0,0.0,0.0,0.0,0.0,0.0,0.0
10539,花蓮縣鳳林鎮長橋國民小學,應付代收款-非政府機關委託補助-學生營養費,1394.0,1394.0,1394.0,0.0,0.0,0.0,0.0,0.0,0.0
10543,花蓮縣鳳林鎮長橋國民小學,應付代收款-非政府機關委託補助-愛心第二春文教基金會,3375.0,6375.0,9375.0,0.0,0.0,0.0,0.0,0.0,0.0
10550,花蓮縣鳳林鎮鳳仁國民小學,應付代收款-其他-劉守潭師捐助校方興學金,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
10558,花蓮縣鳳林鎮鳳仁國民小學,應付代收款-其他-鄧啟民捐助學生急難救助金,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
10591,花蓮縣鳳林鎮鳳仁國民小學,應付代收款-非政府機關委託補助-孝行基金-基金,500000.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0
